national_park,state,trail,activity,overall_rating,comment_title,comment_ratings,comment_text
Denali National Park and Preserve,Alaska (AK),Savage Alpine Trail,Hiking Trails,5.0,Trail Closed,1.0 of 5 bubbles,"Trail was closed.  We heard it has been closed most of the summer due to bear activity, but we did not see this posted anywhere before we left.  It would have been nice to know this ahead of time.  I can understand needing to close the trail, but please post on website so people are aware."
Denali National Park and Preserve,Alaska (AK),Savage Alpine Trail,Hiking Trails,5.0,A lot of flowers in June,4.0 of 5 bubbles,"Unfortunately the day of our hiking was cloudy with some rain. It screw my hiking a little bit, but I've enjoyed it very much."
Denali National Park and Preserve,Alaska (AK),Savage Alpine Trail,Hiking Trails,5.0,Best Hiking Trail in Denali,5.0 of 5 bubbles,"There are very few established hiking trails in Denali National Park but of the few, this one is probably the best and much more scenic than the Mt Healy trail. The views of Mt McKinley and the Alaska Range is absolutely breathtaking for the majority of the trail. "
Denali National Park and Preserve,Alaska (AK),Savage Alpine Trail,Hiking Trails,5.0,Great way to see the mountain,5.0 of 5 bubbles,"This 4 mile trail starts either at Mile 12 or Mile 15 on Park Road. If you have a car you can park at either and then take a free shuttle back to your car. We wanted to see Denali so when asking around someone told us that you see it at the top of the ridge closest to the Mile 15 part of the trail. So we only hiked from Mile 15 parking lot to the top and then back down (it took about 45 minutes each way). I'm sure if you have the time to do the entire trail it would be a nice hike, but since we were short on time, we just did that portion. However, this is the steepest part of the hike. There are many switchbacks to get to the top. I would only recommend this hike if you are in good physical condition and have hiking boots or at least good running shoes. We were very fortunate because the day we did this hike it was clear enough to see Mt. Denali. Many days it is in the clouds."
Denali National Park and Preserve,Alaska (AK),Savage Alpine Trail,Hiking Trails,5.0,Spectacular Savage,5.0 of 5 bubbles,The vistas were fantastic!
Denali National Park and Preserve,Alaska (AK),Savage Alpine Trail,Hiking Trails,5.0,"Majestic views, windy at top",5.0 of 5 bubbles,"Our family of two middle-age adults, a tweener, and an almost-tweener hiked this trail on a glorious early-July day.  We drove our rental car to the Savage River stop, parked in the overflow lot across the bridge and began our hike a little before noon.  The Alpine Trail is not a loop.  You can begin either at the river/bridge end (Mile 15) or at the campground end (Mile 13).  Hikers disagree about which end of the trail makes a better starting point.  Having completed it from the river end, I cannot imagine a better route than ours.  The first part of the trail is a steep ascent up granite steps.  (Caution:  if you're not climbing sharply within the first 100 yards or so of your hike, you're likely on the Savage River Loop Trail, not the Savage Alpine Trail).  The frequent rest stops up the initial climb gave us a chance to take in views that opened up almost immediately, including that of the river valley and Denali peak in the distance.  Although it was steep and generated some degree of offspring complaining (mostly about being too sweaty), the climb was not overly demanding.  A couple of gentlemen directly in front of us (then in back of us, then in front of us) sprinted up, treating the newly-constructed trail like a glorified StairMaster.  Once we reached a clearing at the top of the steps, it became very clear why Savage River is the one stop the Park Service recommends everyone visit.  The panoramic views of Denali and the Alaska Range, fronted by the park's river valleys, had that once-in-a-lifetime quality.  It did get very windy while we were crossing the ridge, and the kids made good use of the same fleece jackets, knit hats, and layers of clothing that everyone recommended yet had made them hot and their daypacks heavy earlier on.  On the way down, we continued taking in views, oohing and ahhing over ubiquitous Arctic squirrels, looking for bears, moose, goats (we didn't see any, though some other hikers did), reveling in our weather luck, and generally pondering how long it would take us to reach the park road we could see at the end of a seemingly very long and gradual descent.  Once we reached the flats, a short turn off the trail gave us a chance to play in the creek.  Bugs and mosquitoes were not a problem.  Overall, we took about 4.5 hours to reach the campground bus stop from the trail head.  The free Savage River shuttle was late, so we used our unused Toklat River bus tickets to catch a green bus back to our car.  The two mile ride on a nearly empty bus was enough to earn me many spousal points for making the right choice to hike this trail on our one full day in Denali instead of sitting much longer on a bus (any bus) to go further into the park."
Denali National Park and Preserve,Alaska (AK),Savage Alpine Trail,Hiking Trails,5.0,"Nice hike, nice views.",5.0 of 5 bubbles,"This trail is good for people who are fit and capable hikers. Trail map says 4 miles, my GPS said I walked 5 - must be the switchbacks. We started from Savage River. The first 1.5 miles are pretty tough uphill with lots of switchbacks & some ""stair steps"" as you go pretty much straight up the mountain. When you get to the top you traverse the ridge - which is very nice. We had great views of Denali. There some alpine flowers (early June) but later in the summer it would likely be spectacular. Also keep alert for the Dall sheep."
Denali National Park and Preserve,Alaska (AK),Savage River Loop Trail,Hiking Trails,4.5,Beautiful hike that is great for families,5.0 of 5 bubbles,"Very easy trail that is great for the family. It's at mile marker 15 (as far as you can drive your own personal car into Denali National Park if you don't have a pass to camp). The views are incredible. Lots of wildlife around. It was really a very memorable hike for my kids. Bring binoculars and a good camera. Keep an eye out and be ""bear aware"" as this area is frequented by bears. We didn't see any, but there were some sightings in the area during the time we were at Denali."
Denali National Park and Preserve,Alaska (AK),Savage River Loop Trail,Hiking Trails,4.5,Great Place for an Easy and Scenic Hike Insde Denali National Park,5.0 of 5 bubbles,This  is located about 14 miles inside Denali National Park at the end of the paved road.  Private vehicles can't drive beyond this point.  There is a parking lot there with public toilets available. 
Denali National Park and Preserve,Alaska (AK),Savage River Loop Trail,Hiking Trails,4.5,Trail was Closed,1.0 of 5 bubbles,"Trail was closed due to bear activity in the area.  I was told it has been closed most of the summer.  I can understand needing to close the trail, but I didn't see it posted on their website or anywhere else that the trail was closed.  They also have signs that creek area is closed so you really can't hike around here at all.  Wish we would have known this ahead of time."
Denali National Park and Preserve,Alaska (AK),Savage River Loop Trail,Hiking Trails,4.5,You Can Drive to the Trail Head,5.0 of 5 bubbles,"A short hike that is friendly for the whole family from little kids to grandmas.  It is not handicap accessible though. It travels down one side of the river, crosses over with a bridge, and returns you the same distance down the other side. You'll want your hiking boots as it is rocky and don't forget your rain gear no matter the weather looks like when you start.  My hiking stick was a plus as I'm closer to the grandma age.  It is not the right trail for you if you are looking for some Alaska quiet and seclusion but does offer a degree of safety in numbers. We did see quiet a bit of wildlife (with binoculars) and a fairly decent diversity of plant life."
